"Compound","Assays"
"LSM-3643","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1492","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1739","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1240","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5848","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5365","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3414","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2194","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1901","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2916","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4044","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1283","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2550","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3604","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1871","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2890","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3879","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1623","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3783","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5744","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1609","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1411","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2444","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3548","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1543","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2862","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2163","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2248","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4878","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1291","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3491","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2949","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3101","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5847","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1423","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4863","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3974","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3258","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2863","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2848","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4098","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1491","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3202","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2391","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3923","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2243","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1793","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2928","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2738","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3675","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2359","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3737","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3781","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5447","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4104","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3251","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5753","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2188","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4222","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2629","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2137","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2716","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5960","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5262","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2851","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4366","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1931","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
